LAY,ZF,PRES,TA,QV,PBL,PSRFC,FRP
0,40.743027,805.8375,291.09015,0.012022481,1848.7999,806.333203125,190000000
1,81.91192,802.0017,291.09857,0.011879551,1848.7999,806.333203125,190000000
2,123.52694,798.14453,291.30157,0.011598421,1848.7999,806.333203125,190000000
3,166.20245,794.2375,291.32892,0.011545351,1848.7999,806.333203125,190000000
4,209.96121,790.25024,291.20703,0.011581274,1848.7999,806.333203125,190000000
5,254.78893,786.18243,291.0276,0.011567828,1848.7999,806.333203125,190000000
6,347.70676,779.8996,290.65198,0.011417804,1848.7999,806.333203125,190000000
7,396.6856,773.4556,290.1303,0.011223302,1848.7999,806.333203125,190000000
8,556.6434,764.0719,289.2288,0.01107793,1848.7999,806.333203125,190000000
9,615.6262,754.28516,288.2887,0.011239459,1848.7999,806.333203125,190000000
10,817.70856,742.8069,287.3615,0.011427796,1848.7999,806.333203125,190000000
11,1001.18176,726.0529,286.27826,0.011199415,1848.7999,806.333203125,190000000
12,1248.9058,707.7261,285.18246,0.010441866,1848.7999,806.333203125,190000000
13,1579.4149,683.75635,283.4744,0.009509414,1848.7999,806.333203125,190000000
14,2013.711,653.05725,280.88672,0.007764664,1848.7999,806.333203125,190000000
15,2562.2178,615.187,277.325,0.0054896832,1848.7999,806.333203125,190000000
16,3594.544,558.42194,272.2151,0.003568723,1848.7999,806.333203125,190000000
17,3986.8586,509.63376,267.78592,0.0027410516,1848.7999,806.333203125,190000000
18,4403.5366,483.97058,266.10486,0.0013875318,1848.7999,806.333203125,190000000
19,4844.746,457.9852,264.14203,0.0015895052,1848.7999,806.333203125,190000000
20,5392.6025,429.62155,261.37286,0.0019999645,1848.7999,806.333203125,190000000
21,5804.0625,403.30576,258.2835,0.0021661236,1848.7999,806.333203125,190000000
22,6320.2715,379.207,255.04973,0.0018895417,1848.7999,806.333203125,190000000
23,6862.106,353.141,251.71373,0.0013518075,1848.7999,806.333203125,190000000
24,7427.39,327.43756,248.17744,0.00095333497,1848.7999,806.333203125,190000000
25,8020.226,302.17734,244.10287,0.0006355826,1848.7999,806.333203125,190000000
26,8637.288,277.44083,239.47316,0.00039457326,1848.7999,806.333203125,190000000
27,9269.821,253.55028,234.4115,0.00028341744,1848.7999,806.333203125,190000000
28,9902.371,230.9893,229.38922,0.000209472,1848.7999,806.333203125,190000000
29,10526.9795,210.12033,224.33476,0.0001287997,1848.7999,806.333203125,190000000
30,11127.134,191.18527,219.1031,7.105784e-05,1848.7999,806.333203125,190000000
31,11710.709,174.1436,214.33963,3.6670855e-05,1848.7999,806.333203125,190000000
32,13364.039,146.22443,207.31705,1.0032615e-05,1848.7999,806.333203125,190000000
33,14488.1455,115.4045,201.02727,4.332473e-06,1848.7999,806.333203125,190000000
34,16494.936,89.37874,201.7806,5.2269243e-06,1848.7999,806.333203125,190000000
